,full_price,city,eu_country,bedrooms,person_capacity,cleanliness_rating,guest_satisfaction_overall,distance_to_center,distance_to_metro
659,814.5665877721276,amsterdam,Netherlands,1,4.0,9.0,86.0,2.298423367351816,1.6615441727335758
660,786.4457619572096,amsterdam,Netherlands,2,4.0,10.0,100.0,2.5290259737197656,0.5661673341778818
662,789.9608651840744,amsterdam,Netherlands,2,5.0,8.0,93.0,1.349250904525461,1.0167938742260976
666,995.4772338481008,amsterdam,Netherlands,2,4.0,7.0,84.0,0.0150587980705548,0.2495009067725535
667,1019.8486162210298,amsterdam,Netherlands,2,4.0,9.0,100.0,1.0887276389173115,0.6070844062971986
670,639.0457666440138,amsterdam,Netherlands,2,4.0,10.0,96.0,2.308738725001808,0.4797052624623678
674,691.537974831861,amsterdam,Netherlands,2,4.0,9.0,93.0,2.9836134095253497,0.9563636940943456
680,651.2314578304783,amsterdam,Netherlands,1,2.0,10.0,97.0,2.6203215252010894,0.2910164200812303
689,614.4400440559605,amsterdam,Netherlands,3,4.0,8.0,83.0,8.164277879741483,0.6759159579099971
691,950.0152321139832,amsterdam,Netherlands,1,4.0,9.0,85.0,0.2802081671693026,0.5140565509908231
696,700.442903006585,amsterdam,Netherlands,1,4.0,10.0,98.0,1.9486428405643696,1.8466109336425631
701,1041.173575797343,amsterdam,Netherlands,1,2.0,10.0,95.0,0.8636234431312255,0.324197213036905
702,768.6359056077614,amsterdam,Netherlands,2,4.0,10.0,97.0,0.9685772581216197,0.4431243916953349
707,841.7500527265485,amsterdam,Netherlands,2,6.0,9.0,98.0,1.1705919401848928,1.043848551312259
708,614.4400440559605,amsterdam,Netherlands,2,4.0,10.0,100.0,4.081379983376794,0.9296212452431596
709,702.0832845124553,amsterdam,Netherlands,1,4.0,8.0,92.0,2.032401443779516,1.8772275779288508
724,645.3729524523704,amsterdam,Netherlands,1,2.0,10.0,100.0,0.2872028149662998,0.4968487463234998
727,940.1729430787618,amsterdam,Netherlands,2,4.0,9.0,100.0,1.1606518056003796,0.9283791093081158
735,921.6600660839408,amsterdam,Netherlands,1,4.0,8.0,90.0,0.4099399980979752,0.2774761464991365
736,950.0152321139832,amsterdam,Netherlands,1,4.0,8.0,85.0,2.091818701865924,1.517031911552743
737,694.5843976284771,amsterdam,Netherlands,1,2.0,9.0,95.0,1.729196947067122,0.4963551695234535
743,640.4518079347597,amsterdam,Netherlands,1,2.0,6.0,80.0,1.908979697867656,0.2937352784899475
744,1066.4823190307688,amsterdam,Netherlands,3,4.0,8.0,100.0,2.1951353114167254,0.3181482617725802
752,1228.880088111921,amsterdam,Netherlands,2,2.0,10.0,100.0,1.379197102395432,0.3639411372810649
753,645.3729524523704,amsterdam,Netherlands,1,2.0,10.0,90.0,0.8997135965288077,0.8018884224404086
754,645.3729524523704,amsterdam,Netherlands,1,2.0,10.0,100.0,0.9198881611320572,0.8208105017213989
755,613.7370234105875,amsterdam,Netherlands,2,4.0,10.0,100.0,0.7761684604222954,0.8529929215204265
759,1348.6279380404471,amsterdam,Netherlands,2,6.0,10.0,97.0,1.6098833605867957,0.0568915518360108
766,1348.6279380404471,amsterdam,Netherlands,2,6.0,10.0,98.0,1.8745762721732204,0.3585655010018879
770,647.4820143884892,amsterdam,Netherlands,1,3.0,10.0,100.0,1.096748152612239,0.5689210236971738
772,632.9529210507816,amsterdam,Netherlands,2,4.0,9.0,93.0,7.072238378231082,2.9398697830337768
